library_id,polynomial_degree,include_sin_cos,stlsq_threshold,direction,regime,dimension,phasec_representability_threeway,aggregation_scope,n_cells,structure_hit_raw_count,structure_hit_raw_rate,structure_hit_pruned_count,structure_hit_pruned_rate,diverged_or_nonfinite_count,r2_valid_count,r2_gt_0_9_count,r2_gt_0_9_rate_over_cells,r2_median_valid
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC2_to_IC1,reconstruction,3,exact,dimension_by_phasec_representability_threeway,5,0,0.0,0,0.0,2,5,0,0.0,-0.7707668850293684
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC2_to_IC1,reconstruction,3,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,0,1,1,1.0,0.9998489048038423
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC2_to_IC1,reconstruction,3,surrogate:eq3_not_representable,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,0,1,1,1.0,0.9346956534456056
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC2_to_IC1,reconstruction,4,exact,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,1,1,0,0.0,-7.106442666512911e+35
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC2_to_IC1,reconstruction,4,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,1,1,0,0.0,-6.216011663858883e+55
poly_deg3_sin_cos_stlsq_0.1,3,True,0.1,IC1_to_IC2,generalization,1,exact,dimension_by_phasec_representability_threeway,11,5,0.45454545454545453,5,0.45454545454545453,0,11,8,0.7272727272727273,0.9999391263668703
poly_deg3_sin_cos_stlsq_0.1,3,True,0.1,IC1_to_IC2,generalization,1,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,12,2,0.16666666666666666,2,0.16666666666666666,0,12,7,0.5833333333333334,0.968987773311158
poly_deg3_sin_cos_stlsq_0.1,3,True,0.1,IC1_to_IC2,generalization,2,exact,dimension_by_phasec_representability_threeway,9,4,0.4444444444444444,4,0.4444444444444444,2,9,6,0.6666666666666666,0.983324595307344
poly_deg3_sin_cos_stlsq_0.1,3,True,0.1,IC1_to_IC2,generalization,2,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,12,1,0.08333333333333333,1,0.08333333333333333,4,12,4,0.3333333333333333,0.06702274382906653
poly_deg3_sin_cos_stlsq_0.1,3,True,0.1,IC1_to_IC2,generalization,2,surrogate:eq2_not_representable,dimension_by_phasec_representability_threeway,6,2,0.3333333333333333,2,0.3333333333333333,1,6,4,0.6666666666666666,0.9962750478781347
poly_deg3_sin_cos_stlsq_0.1,3,True,0.1,IC1_to_IC2,generalization,3,exact,dimension_by_phasec_representability_threeway,7,1,0.14285714285714285,1,0.14285714285714285,3,7,0,0.0,-17.25358671990124
