run_id,experiment_id,system_id,variant_slug,seed,initial_condition_set,equation_index,n_found_terms,n_true_terms,n_true_positive_terms,n_missing_true_terms,n_extra_found_terms,term_precision,term_recall,structural_f1,exact_support_match,missing_true_terms,extra_found_terms,coefficient_relative_error_mean,coefficient_relative_error_max,n_coefficient_terms
105_evogrow_v2_2_stage_capped_pretune_on_18_1_7,paper1_phaseB_v1,18,evogrow_v2_2_stage_capped_pretune_on,7,1,1,2,2,2,0,0,1.0,1.0,1.0,True,,,,,0
106_evogrow_v2_2_stage_capped_pretune_on_18_2_42,paper1_phaseB_v1,18,evogrow_v2_2_stage_capped_pretune_on,42,2,1,2,2,2,0,0,1.0,1.0,1.0,True,,,,,0
107_evogrow_v2_2_stage_capped_pretune_on_18_2_123,paper1_phaseB_v1,18,evogrow_v2_2_stage_capped_pretune_on,123,2,1,2,2,2,0,0,1.0,1.0,1.0,True,,,,,0
108_evogrow_v2_2_stage_capped_pretune_on_18_2_7,paper1_phaseB_v1,18,evogrow_v2_2_stage_capped_pretune_on,7,2,1,2,2,2,0,0,1.0,1.0,1.0,True,,,,,0
109_evogrow_v2_2_stage_capped_pretune_on_19_1_42,paper1_phaseB_v1,19,evogrow_v2_2_stage_capped_pretune_on,42,1,1,2,2,2,0,0,1.0,1.0,1.0,True,,,,,0
110_evogrow_v2_2_stage_capped_pretune_on_19_1_123,paper1_phaseB_v1,19,evogrow_v2_2_stage_capped_pretune_on,123,1,1,2,2,2,0,0,1.0,1.0,1.0,True,,,,,0
111_evogrow_v2_2_stage_capped_pretune_on_19_1_7,paper1_phaseB_v1,19,evogrow_v2_2_stage_capped_pretune_on,7,1,1,2,2,2,0,0,1.0,1.0,1.0,True,,,,,0
112_evogrow_v2_2_stage_capped_pretune_on_19_2_42,paper1_phaseB_v1,19,evogrow_v2_2_stage_capped_pretune_on,42,2,1,2,2,2,0,0,1.0,1.0,1.0,True,,,,,0
113_evogrow_v2_2_stage_capped_pretune_on_19_2_123,paper1_phaseB_v1,19,evogrow_v2_2_stage_capped_pretune_on,123,2,1,2,2,2,0,0,1.0,1.0,1.0,True,,,,,0
114_evogrow_v2_2_stage_capped_pretune_on_19_2_7,paper1_phaseB_v1,19,evogrow_v2_2_stage_capped_pretune_on,7,2,1,2,2,2,0,0,1.0,1.0,1.0,True,,,,,0
