signal,operating_point,selected_k,sigma_rel,noise_replicate,direction,regime,dimension,phasec_representability_threeway,aggregation_scope,n_cells,structure_denominator_exact_cells,structure_hit_raw_count,structure_hit_raw_rate,structure_hit_pruned_count,structure_hit_pruned_rate,diverged_or_nonfinite_count,r2_finite_nondiverged_count,r2_gt_0_9_count,r2_gt_0_9_rate_over_cells,r2_median_valid,r2_q000_finite_nondiverged,r2_q025_finite_nondiverged,r2_q075_finite_nondiverged,r2_q100_finite_nondiverged
fd,bic,1,0.05,1,IC2_to_IC1,generalization,1,exact,dimension_by_phasec_representability_threeway,4,4,1,0.25,1,0.25,0,4,1,0.25,0.1831562566379028,-0.47536756354479004,-0.42464541454798466,0.8292531853486259,0.9948611069199381
fd,bic,1,0.05,1,IC2_to_IC1,generalization,1,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,7,0,0,,0,,0,7,0,0.0,0.30891613120000383,-1047.7502335684992,-8.32579194094886,0.3687863602376473,0.8546842205720641
fd,bic,1,0.05,1,IC2_to_IC1,generalization,2,exact,dimension_by_phasec_representability_threeway,3,3,1,0.3333333333333333,1,0.3333333333333333,0,3,2,0.6666666666666666,0.9774350192049064,-4.189928619077552,-1.6062467999363226,0.9834422216388086,0.9894494240727106
fd,bic,1,0.05,1,IC2_to_IC1,generalization,2,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,2,0,0,,0,,0,2,0,0.0,-257.2307634812058,-513.4631913421467,-385.3469774116763,-129.11454955073538,-0.9983356202649302
fd,bic,1,0.05,1,IC2_to_IC1,generalization,2,surrogate:eq2_not_representable,dimension_by_phasec_representability_threeway,2,0,0,,0,,0,2,0,0.0,0.4518011868023835,0.03565364685416339,0.24372741682827345,0.6598749567764935,0.8679487267506036
fd,bic,1,0.05,1,IC2_to_IC1,reconstruction,1,exact,dimension_by_phasec_representability_threeway,4,4,1,0.25,1,0.25,0,4,2,0.5,0.8367066749620975,0.6043078058874974,0.6628695352937868,0.993137087454463,0.9994786353329167
fd,bic,1,0.05,1,IC2_to_IC1,reconstruction,1,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,7,0,0,,0,,0,7,2,0.2857142857142857,0.7906485499899483,0.6463599614179449,0.7418350467499426,0.9153990271102317,0.9918655251139697
fd,bic,1,0.05,1,IC2_to_IC1,reconstruction,2,exact,dimension_by_phasec_representability_threeway,3,3,1,0.3333333333333333,1,0.3333333333333333,1,2,2,0.6666666666666666,0.9891008051422323,0.9836988190202256,0.986399812081229,0.9918017982032357,0.994502791264239
fd,bic,1,0.05,1,IC2_to_IC1,reconstruction,2,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,2,0,0,,0,,0,2,1,0.5,0.9204198237520206,0.8801488382325127,0.9002843309922666,0.9405553165117746,0.9606908092715285
fd,bic,1,0.05,1,IC2_to_IC1,reconstruction,2,surrogate:eq2_not_representable,dimension_by_phasec_representability_threeway,2,0,0,,0,,0,2,1,0.5,0.8032895340420023,0.6217991055199079,0.7125443197809551,0.8940347483030495,0.9847799625640967
