manifest_index,system_id,system_name,seed,initial_condition_set,variant,basis_name,representability,wp_n1_support_status,raw_support_match,pruned_support_match,support_equality_definition,raw_implies_pruned_violation,r2,r2_gt_0_9,loss,final_stage,eq_final_stages,total_parameter_fits,total_loss_evals,total_ode_solves,elapsed_s,elapsed_s_evidence_role,git_hash,config_fingerprint,stage_cap_behavior_fingerprint,incomplete_allowed,expected_manifest_records,observed_manifest_records,missing_manifest_indices,dim,classification_description,decision_layer
55,33,Glider (dimensionless),7,1,wp_n1_old_basis,default_staged_polynomial_basis,surrogate,eq2_not_representable,,,normalized term-name set equality per equation index; equation order is preserved,False,0.9994354847719026,True,0.0020611673869455013,5,"[5,5]",610,2842072,2842072,10340.739442338,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,Glider (dimensionless),C_literature_all_cells
56,33,Glider (dimensionless),42,1,wp_n1_old_basis,default_staged_polynomial_basis,surrogate,eq2_not_representable,,,normalized term-name set equality per equation index; equation order is preserved,False,0.9994412811069693,True,0.0020605698269140693,5,"[5,5]",550,2601581,2601581,46414.269969129,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,Glider (dimensionless),C_literature_all_cells
57,33,Glider (dimensionless),123,1,wp_n1_old_basis,default_staged_polynomial_basis,surrogate,eq2_not_representable,,,normalized term-name set equality per equation index; equation order is preserved,False,0.9995233228714345,True,0.002154216421284403,5,"[5,5]",610,2720349,2720349,7868.705037775,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,Glider (dimensionless),C_literature_all_cells
58,33,Glider (dimensionless),7,2,wp_n1_old_basis,default_staged_polynomial_basis,surrogate,eq2_not_representable,,,normalized term-name set equality per equation index; equation order is preserved,False,0.986117315064232,True,0.05239705347385591,5,"[5,5]",570,1804049,1804049,14614.350526959,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,Glider (dimensionless),C_literature_all_cells
59,33,Glider (dimensionless),42,2,wp_n1_old_basis,default_staged_polynomial_basis,surrogate,eq2_not_representable,,,normalized term-name set equality per equation index; equation order is preserved,False,0.9999383679930214,True,0.0020283555948240606,5,"[5,5]",610,2016633,2016633,22788.806348198,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,Glider (dimensionless),C_literature_all_cells
60,33,Glider (dimensionless),123,2,wp_n1_old_basis,default_staged_polynomial_basis,surrogate,eq2_not_representable,,,normalized term-name set equality per equation index; equation order is preserved,False,0.9851095776427825,True,0.054617532793188366,5,"[5,5]",530,1716291,1716291,9252.590871015,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,Glider (dimensionless),C_literature_all_cells
61,34,Frictionless bead on a rotating hoop (dimensionless),7,1,wp_n1_old_basis,default_staged_polynomial_basis,surrogate,eq2_not_representable,,,normalized term-name set equality per equation index; equation order is preserved,False,0.999652514835637,True,0.00041763726760539243,5,"[5,5]",410,823034,823034,5928.696612045,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,Frictionless bead on a rotating hoop (dimensionless),C_literature_all_cells
62,34,Frictionless bead on a rotating hoop (dimensionless),42,1,wp_n1_old_basis,default_staged_polynomial_basis,surrogate,eq2_not_representable,,,normalized term-name set equality per equation index; equation order is preserved,False,0.9996522853444874,True,0.0004177615269112151,5,"[5,5]",430,868679,868679,3421.014767655,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,Frictionless bead on a rotating hoop (dimensionless),C_literature_all_cells
63,34,Frictionless bead on a rotating hoop (dimensionless),123,1,wp_n1_old_basis,default_staged_polynomial_basis,surrogate,eq2_not_representable,,,normalized term-name set equality per equation index; equation order is preserved,False,0.9997002506074912,True,0.00036021082447722176,5,"[5,5]",410,959817,959817,5420.958536133,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,Frictionless bead on a rotating hoop (dimensionless),C_literature_all_cells
64,34,Frictionless bead on a rotating hoop (dimensionless),7,2,wp_n1_old_basis,default_staged_polynomial_basis,surrogate,eq2_not_representable,,,normalized term-name set equality per equation index; equation order is preserved,False,0.9999490625567387,True,1.455989014700947e-05,5,"[5,5]",410,1498054,1498054,13214.737405935,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,Frictionless bead on a rotating hoop (dimensionless),C_literature_all_cells
65,34,Frictionless bead on a rotating hoop (dimensionless),42,2,wp_n1_old_basis,default_staged_polynomial_basis,surrogate,eq2_not_representable,,,normalized term-name set equality per equation index; equation order is preserved,False,0.9999499919300142,True,1.3981970372273908e-05,5,"[5,5]",410,1269262,1269262,3759.649637154,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,Frictionless bead on a rotating hoop (dimensionless),C_literature_all_cells
