signal,ranking_method,sigma_rel,noise_replicate,ic_strategy,dimension,n_equations,q010,q025,q050,q075,q090,le_0_count,le_0_rate,le_1_count,le_1_rate,le_2_count,le_2_rate,le_3_count,le_3_rate,le_5_count,le_5_rate,le_10_count,le_10_rate
fd,forward,0.05,4,ic1,4,4,15.3,15.75,17.5,20.0,21.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
fd,forward,0.05,4,ic1_ic2,1,11,0.0,0.5,3.0,4.0,4.0,3,0.2727272727272727,4,0.36363636363636365,5,0.45454545454545453,7,0.6363636363636364,11,1.0,11,1.0
fd,forward,0.05,4,ic1_ic2,2,20,0.0,0.0,0.0,6.0,9.0,11,0.55,12,0.6,12,0.6,13,0.65,14,0.7,20,1.0
fd,forward,0.05,4,ic1_ic2,3,24,0.0,0.0,0.5,7.0,16.0,12,0.5,15,0.625,15,0.625,16,0.6666666666666666,16,0.6666666666666666,19,0.7916666666666666
fd,forward,0.05,4,ic1_ic2,4,4,2.7,6.75,13.0,17.5,18.4,1,0.25,1,0.25,1,0.25,1,0.25,1,0.25,2,0.5
fd,forward,0.05,4,ic2,1,11,0.0,1.0,3.0,4.0,4.0,2,0.18181818181818182,4,0.36363636363636365,5,0.45454545454545453,7,0.6363636363636364,11,1.0,11,1.0
fd,forward,0.05,4,ic2,2,20,0.0,0.0,1.0,3.5,7.200000000000003,8,0.4,11,0.55,12,0.6,15,0.75,17,0.85,20,1.0
fd,forward,0.05,4,ic2,3,24,0.0,0.0,0.5,9.0,16.0,12,0.5,15,0.625,15,0.625,16,0.6666666666666666,16,0.6666666666666666,19,0.7916666666666666
fd,forward,0.05,4,ic2,4,4,12.3,12.75,15.5,18.25,18.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
fd,forward,0.05,5,ic1,1,11,0.0,1.0,2.0,4.0,4.0,3,0.2727272727272727,3,0.2727272727272727,6,0.5454545454545454,7,0.6363636363636364,11,1.0,11,1.0
fd,forward,0.05,5,ic1,2,20,0.0,0.0,0.0,3.25,5.300000000000004,12,0.6,12,0.6,12,0.6,15,0.75,18,0.9,20,1.0
fd,forward,0.05,5,ic1,3,24,0.0,0.0,2.0,10.25,16.0,11,0.4583333333333333,12,0.5,12,0.5,14,0.5833333333333334,14,0.5833333333333334,18,0.75
fd,forward,0.05,5,ic1,4,4,8.9,14.75,19.5,21.5,22.4,0,0.0,0,0.0,0,0.0,0,0.0,1,0.25,1,0.25
fd,forward,0.05,5,ic1_ic2,1,11,0.0,0.5,3.0,4.0,4.0,3,0.2727272727272727,5,0.45454545454545453,5,0.45454545454545453,7,0.6363636363636364,11,1.0,11,1.0
fd,forward,0.05,5,ic1_ic2,2,20,0.0,0.0,0.0,4.0,7.200000000000003,11,0.55,12,0.6,13,0.65,14,0.7,17,0.85,20,1.0
fd,forward,0.05,5,ic1_ic2,3,24,0.0,0.0,0.0,6.0,16.0,13,0.5416666666666666,15,0.625,15,0.625,16,0.6666666666666666,17,0.7083333333333334,19,0.7916666666666666
fd,forward,0.05,5,ic1_ic2,4,4,10.8,13.5,18.5,22.75,24.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.25
fd,forward,0.05,5,ic2,1,11,1.0,2.0,3.0,4.0,4.0,1,0.09090909090909091,3,0.2727272727272727,3,0.2727272727272727,6,0.5454545454545454,11,1.0,11,1.0
fd,forward,0.05,5,ic2,2,20,0.0,0.0,2.0,5.5,7.100000000000001,7,0.35,9,0.45,11,0.55,14,0.7,15,0.75,20,1.0
fd,forward,0.05,5,ic2,3,24,0.0,0.0,0.0,7.75,16.0,13,0.5416666666666666,15,0.625,16,0.6666666666666666,17,0.7083333333333334,17,0.7083333333333334,19,0.7916666666666666
fd,forward,0.05,5,ic2,4,4,4.2,6.0,9.0,12.5,15.200000000000001,0,0.0,0,0.0,0,0.0,1,0.25,1,0.25,2,0.5
fd,marginal,0.0,0,ic1,1,11,0.0,0.5,2.0,4.0,4.0,3,0.2727272727272727,5,0.45454545454545453,6,0.5454545454545454,7,0.6363636363636364,11,1.0,11,1.0
fd,marginal,0.0,0,ic1,2,20,0.0,0.0,1.5,6.25,9.0,10,0.5,10,0.5,10,0.5,11,0.55,13,0.65,20,1.0
fd,marginal,0.0,0,ic1,3,24,5.6000000000000005,11.75,13.0,15.0,16.0,0,0.0,1,0.041666666666666664,2,0.08333333333333333,2,0.08333333333333333,3,0.125,4,0.16666666666666666
fd,marginal,0.0,0,ic1,4,4,0.0,0.0,9.5,19.5,20.4,2,0.5,2,0.5,2,0.5,2,0.5,2,0.5,2,0.5
fd,marginal,0.0,0,ic1_ic2,1,11,0.0,0.5,2.0,4.0,4.0,3,0.2727272727272727,5,0.45454545454545453,6,0.5454545454545454,7,0.6363636363636364,11,1.0,11,1.0
fd,marginal,0.0,0,ic1_ic2,2,20,0.0,0.0,1.5,6.25,9.0,10,0.5,10,0.5,10,0.5,11,0.55,12,0.6,20,1.0
fd,marginal,0.0,0,ic1_ic2,3,24,3.200000000000001,9.0,11.5,15.0,16.0,0,0.0,1,0.041666666666666664,3,0.125,3,0.125,3,0.125,11,0.4583333333333333
fd,marginal,0.0,0,ic1_ic2,4,4,0.0,0.0,6.0,14.75,19.700000000000003,2,0.5,2,0.5,2,0.5,2,0.5,2,0.5,2,0.5
fd,marginal,0.0,0,ic2,1,11,0.0,1.0,1.0,4.0,4.0,2,0.18181818181818182,6,0.5454545454545454,6,0.5454545454545454,7,0.6363636363636364,11,1.0,11,1.0
fd,marginal,0.0,0,ic2,2,20,0.0,0.0,2.0,5.25,7.100000000000001,10,0.5,10,0.5,10,0.5,10,0.5,15,0.75,20,1.0
fd,marginal,0.0,0,ic2,3,24,5.0,8.0,12.5,15.25,16.0,0,0.0,0,0.0,2,0.08333333333333333,2,0.08333333333333333,4,0.16666666666666666,8,0.3333333333333333
fd,marginal,0.0,0,ic2,4,4,0.0,0.0,7.0,16.0,19.6,2,0.5,2,0.5,2,0.5,2,0.5,2,0.5,2,0.5
fd,marginal,0.01,1,ic1,1,11,0.0,0.5,2.0,4.0,4.0,3,0.2727272727272727,5,0.45454545454545453,6,0.5454545454545454,7,0.6363636363636364,11,1.0,11,1.0
fd,marginal,0.01,1,ic1,2,20,0.0,0.0,2.0,6.25,9.0,9,0.45,10,0.5,10,0.5,11,0.55,14,0.7,20,1.0
fd,marginal,0.01,1,ic1,3,24,5.9,11.75,12.5,15.25,16.0,0,0.0,1,0.041666666666666664,2,0.08333333333333333,2,0.08333333333333333,3,0.125,4,0.16666666666666666
fd,marginal,0.01,1,ic1,4,4,0.9000000000000001,2.25,11.0,19.5,20.4,1,0.25,1,0.25,1,0.25,2,0.5,2,0.5,2,0.5
