run_id,experiment_id,phase,hypothesis,run_type,include_in_paper,system_id,system_name,system_dim,system_representability,system_expected_stage,variant,seed,status,inferred_status,success,failure_reason,started_at,finished_at,loss,objective,exact_support_match,final_stage,stage_overshoot,wasted_levels,total_loss_evals,total_invalid_evals,elapsed_s,partial,metrics_available,corrupted
3_evogrow_v2_2_soft_seed123,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,3,Logistic growth,1,exact,2,evogrow_v2_2_soft,123,finished,finished,true,,2026-04-23T04:50:54,2026-04-23T05:24:33,3.236362682414739e-8,0.002000032363626824,true,5,3,12,9751050,9225,2018.885999917984,false,true,false
3_evogrow_v2_2_soft_seed7,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,3,Logistic growth,1,exact,2,evogrow_v2_2_soft,7,finished,finished,true,,2026-04-23T05:24:33,2026-04-23T05:58:18,3.236362682414739e-8,0.002000032363626824,true,5,3,12,9795060,9045,2024.1920001506805,false,true,false
3_evogrow_v2_2_soft_seed99,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,3,Logistic growth,1,exact,2,evogrow_v2_2_soft,99,finished,finished,true,,2026-04-23T05:58:18,2026-04-23T06:31:59,3.236362682414739e-8,0.002000032363626824,true,5,3,12,9734160,9045,2021.6409997940063,false,true,false
3_evogrow_v2_2_soft_seed17,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,3,Logistic growth,1,exact,2,evogrow_v2_2_soft,17,finished,finished,true,,2026-04-23T06:31:59,2026-04-23T07:05:20,3.236362682414739e-8,0.002000032363626824,true,5,3,12,9754460,9045,2000.0590000152588,false,true,false
3_gp_baseline_seed42,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,3,Logistic growth,1,exact,2,gp_baseline,42,finished,finished,true,,2026-04-23T07:05:20,2026-04-23T07:07:00,3.236362682414739e-8,0.002000032363626824,true,,,0,341932,2084,100.68899989128113,false,true,false
3_gp_baseline_seed123,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,3,Logistic growth,1,exact,2,gp_baseline,123,finished,finished,true,,2026-04-23T07:07:00,2026-04-23T07:09:18,3.236362682414739e-8,0.002000032363626824,true,,,0,173685,3765,137.6710000038147,false,true,false
3_gp_baseline_seed7,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,3,Logistic growth,1,exact,2,gp_baseline,7,finished,finished,true,,2026-04-23T07:09:18,2026-04-23T07:09:35,3.236362682414739e-8,0.002000032363626824,true,,,0,61438,2163,16.902999877929688,false,true,false
3_gp_baseline_seed99,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,3,Logistic growth,1,exact,2,gp_baseline,99,finished,finished,true,,2026-04-23T07:09:35,2026-04-23T07:12:15,3.236362682414739e-8,0.002000032363626824,true,,,0,103539,2690,159.73399996757507,false,true,false
3_gp_baseline_seed17,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,3,Logistic growth,1,exact,2,gp_baseline,17,finished,finished,true,,2026-04-23T07:12:15,2026-04-23T07:23:43,2.0532077937409473e-8,0.0030000205320779376,false,,,0,1421747,4641,687.7070000171661,false,true,false
11_evogrow_v1_seed42,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,11,Critical slowing down,1,exact,4,evogrow_v1,42,finished,finished,true,,2026-04-23T08:32:19,2026-04-23T08:32:27,4.345439813793235e-15,0.0030000000000043455,false,4,0,0,14450,0,4.296000003814697,false,true,false
11_evogrow_v1_seed123,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,11,Critical slowing down,1,exact,4,evogrow_v1,123,finished,finished,true,,2026-04-23T08:32:27,2026-04-23T08:32:28,4.345439813793235e-15,0.0030000000000043455,false,4,0,0,14450,0,1.250999927520752,false,true,false
11_evogrow_v1_seed7,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,11,Critical slowing down,1,exact,4,evogrow_v1,7,finished,finished,true,,2026-04-23T08:32:28,2026-04-23T08:32:30,4.345439813793235e-15,0.0030000000000043455,false,4,0,0,14450,0,1.1150000095367432,false,true,false
11_evogrow_v1_seed99,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,11,Critical slowing down,1,exact,4,evogrow_v1,99,finished,finished,true,,2026-04-23T08:32:30,2026-04-23T08:32:31,4.345439813793235e-15,0.0030000000000043455,false,4,0,0,14450,0,1.1150000095367432,false,true,false
11_evogrow_v1_seed17,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,11,Critical slowing down,1,exact,4,evogrow_v1,17,finished,finished,true,,2026-04-23T08:32:31,2026-04-23T08:32:32,4.345439813793235e-15,0.0030000000000043455,false,4,0,0,14450,0,1.1339998245239258,false,true,false
11_evogrow_v2_1_seed42,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,11,Critical slowing down,1,exact,4,evogrow_v2_1,42,finished,finished,true,,2026-04-23T08:32:32,2026-04-23T08:32:33,4.345439813793235e-15,0.0030000000000043455,false,4,0,0,14450,0,1.1740000247955322,false,true,false
11_evogrow_v2_1_seed123,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,11,Critical slowing down,1,exact,4,evogrow_v2_1,123,finished,finished,true,,2026-04-23T08:32:33,2026-04-23T08:32:35,4.345439813793235e-15,0.0030000000000043455,false,4,0,0,14450,0,1.1729998588562012,false,true,false
